n, ,d, 
 ,d,a,d
d,a,n,a
a,n,u,t
n,u,m,u
u,m,,m
,v,x,v
v,x,u,x
x,u,q,u
u,q,l,q
q,l,x,l
l,x,x,x
x,x,,x
,t,h,t
t,h,e,h
h,e,,e
,l,a,l
l,a,k,a
a,k,e,k
k,e,,e
,i,s,i
i,s,e,s
s,e,,x
l,a,r,a
a,r,d,r
r,d,,d
,d,r,v
d,r,l,r
r,l,,l
SS,,q,
,q,u,q
q,u,a,u
u,a,r,a
a,r,r,r
r,r,y,r
r,y,,y
t,r,l,r
,i,y,i
i,y,v,y
y,v,n,v
v,n,,n
,-,-,i
-,-,-,t
-,-,t, 
-,t,e,t
t,e,m,e
e,m,p,m
m,p,l,p
p,l,e,l
l,e,,e
p,a,r,a
a,r,k,r
r,k,,k
k,,ES,
,-,-,b
-,-,e, 
-,e,-,e
e,-,h,n
-,h,e,h
h,e,n,e
e,n,,-
,p,o,p
p,o,o,o
o,o,l,o
q,u,e,u
u,e,e,e
e,e,n,e
e,n,,n
b,r,a,r
r,a,x,x
,i,m,i
i,m,a,-
m,a,x,a
,a,l,a
a,l,l,l
,e,l,e
e,l,i,l
l,i,z,i
i,z,a,z
z,a,b,a
a,b,e,b
b,e,t,e
t,h,-,h
i,s,l,s
s,l,a,l
l,a,n,a
a,n,d,n
n,d,,d
,j,c,j
j,c,b,n
c,b,,b
,s,h,-
s,h,i,-
h,i,m,i
i,m,u,m
m,u,,u
u,,ES,
,b,u,b
b,u,r,u
u,r, ,r
r, ,d, 
 ,d,o,2
d,o,o,t
o,o,s,o
o,s,a,s
s,a,n,a
a,n,,n
,b,i,-
b,i,l,i
i,l,l,l
,x,x,x
x,x,i,x
b,r,i,r
r,i,d,i
i,d,g,d
,b,l,b
b,l,e,l
l,e,n,e
e,n,h,n
n,h,e,h
h,e,i,e
e,i,m,-
i,m,,-
,w,r,w
w,r,f,r
r,f,v,f
f,v,,v
,r,i,r
r,i,l,-
x,x,x,x
x,x,,s
,d,a,d
d,a,l,a
a,l,e,-
l,e,s,-
e,s,m,s
s,m,a,m
m,a,n,a
a,n,-,n
n,-,-,c
-,-,,l
l,a,x,r
,x,e,x
x,e,z,e
e,z,i,z
z,i,y,i
i,y,,y
,r,a,r
r,a,i,a
a,i,l,i
i,l,w,l
l,w,a,w
w,a,y,a
,d,a,f
a,n,e,n
n,e,s,e
e,s,b,s
s,b,r,b
r,i,d,l
,a,n,a
a,n,n,-
n,n,a,n
n,a,l,a
r,o,o,o
o,o,k,o
o,k,s,k
k,s, ,s
s, ,h, 
 ,h,u,h
h,u,l,u
u,l,l,l
l,l, ,l
l, ,f, 
 ,f,a,f
x,x,y,x
x,y,x,y
y,x,,x
,a,f,a
a,f,o,-
f,o,b,z
o,b,i,b
b,i,,i
k,s,-,s
-,-,-,h
-,-,,i
w,e,,e
,o,a,o
o,a,k,-
a,k,w,k
k,w,e,w
w,e,l,e
e,l,l,l
x,i,f,i
i,f,x,f
f,x,,x
p,a,t,-
a,t,h,t
t,h,,h
,t,i,t
t,i,k,-
i,k,v,y
k,v,a,v
v,a,,a
r,o,a,o
o,a,,a
,g,d,g
g,d,n,d
d,n,s,n
,l,i,l
l,i,n,i
i,n,,n
x,x,x,i
b,a,r,-
,-,-,p
-,-,g,g
-,g,e,g
g,e,r,e
e,r,r,-
,a,h,a
a,h,a,h
h,a,d,-
a,d,,d
r,a, ,a
a, ,s, 
 ,s,h,s
h,a,i,f
a,i,r,u
i,r,d,r
e,l,m,l
,s,c,s
s,c,h,c
c,h,o,h
h,o,o,o
o,o,,o
o,,ES,
l,a,u,a
a,u,m,r
,w,a,w
w,a,r,a
r,r,e,r
r,e,n,e
,-,-,f
-,e,l,e
l,d,,d
,c,l,c
c,l,u,l
l,u,b,u
u,b,,b
-,-,-,x
-,-,i,|
|
-,i,s,i
i,s,o,s
s,o,h,o
o,h,c,h
h,c,e,c
c,e,,e
o,a,d,a
u,a,y,a
i,i,i,i
,f,u,f
f,u,r,u
u,r,,r
i,n,d,n
n,d,l,-
d,l,,l
,a,k,p
a,k,g,k
k,g,,g
,e,w,e
e,w,e,w
t,h,o,h
h,o,r,o
r,n,e,n
n,e,l,-
e,l,l,-
-,-,b,|
|
-,b,r,b
r,a,c,a
k,e,n,e
e,n,w,n
n,w,o,w
w,o,o,o
o,o,d,o
o,d,,d
,r,d,r
r,d,a,d
d,a,,a
l,o,i,o
o,i,n,i
i,n,,j
e,w,o,w
r,e,e,-
e,e,l,e
,r,r,-
r,r,d,r
r,d,e,d
d,e,,e
,h,e,h
h,e,a,e
e,a,t,a
a,t,-,t
t,-,-, 
-,-,,e
s,e,n,e
,i,x,i
i,x,,x
,a,v,a
a,v,i,-
v,i,l,i
i,l,,l
,g,n,g
g,n,u,n
n,u,,u
t,h,l,h
h,l,a,l
n,d,s,d
,-,-,l
-,-,a, 
-,a,n,a
,-,-,k
-,-,l, 
-,l,o,l
i,s,s,-
s,s,a,s
s,a,-,a
a,-,-, 
,c,u,c
c,u,u,u
u,u,a,u
u,a,s,a
a,s,v,s
s,v,,v
h,o,s,o
s,t, ,t
t, ,r, 
 ,r,f,r
r,f,y,f
f,y,o,y
y,o,g,o
o,g,,g
t,i,n,i
n,t,i,t
t,i,n,-
i,n,,-
-,-,w, 
-,w,e,w
w,e,i,e
e,i,r,i
SS,,m,
,m,i,m
m,i,l,i
s,a,g,a
a,g,a,g
g,a,,-
t,i,v,i
i,v,e,v
v,e,y,e
,a,w,q
a,w,l,w
,e,v,e
e,v,a,v
,j,o,j
j,o,b,o
o,b,,b
-,-,o, 
-,o,x,o
o,x,h,x
x,h,a,h
h,a,y,a
t,r,a,r
c,k,,k
r,i,b,i
,f,i,f
f,i,f,i
i,f,i,v
f,i,,i
,m,s,m
m,s,c,s
s,c,p,-
c,p,,p
p,,ES,
l,b,d,b
b,d,m,d
d,m,,m
,d,i,d
d,i,a,i
i,a,n,a
,t,a,-
t,a,t,-
t,h,a,h
c,a,m,u
a,m,u,m
m,u,l,u
u,l,u,l
l,u,s,u
,l,u,l
l,u,g,u
u,g,,g
,c,o,-
SS,,u,
,u,n,u
u,n,s,n
n,s,u,s
s,u,r,u
u,r,e,n
r,e,,g
,t,a,t
t,a,f,s
a,f,t,s
f,t,s,s
r,u,n,u
u,n,,n
b,i,o,i
i,o,,o
i,x,x,x
x,x,n,x
x,n,,n
,n,i,n
n,i,l,i
i,l,l,-
,v,h,v
v,h,w,h
h,w,l,w
,a,g,v
a,g,l,g
g,l,,l
l,i,p,i
i,p,,p
s,a,d,a
a,d,l,d
d,l,e,l
l,e,r,e
c,o,n,l
o,n,-,n
n,-,c,c
-,c,l,c
c,l,e,l
l,e,|
|,e
e,|
|,c,|
|
|
|,c,o,c
t,a,,a
,p,i,p
p,i,t,i
i,t,,t
,o,r,o
o,r,e,r
c,o,l,o
o,l,u,l
l,u,m,u
u,m,n,m
m,n,-,n
-,-, ,f
-, ,v, 
 ,v,i,v
v,i,c,i
i,c,t,c
c,t,o,t
t,o,r,o
o,r,y,r
-,-,-,a
-,w,a,w
w,a,l,a
a,l,k,l
l,k,,k
,m,o,m
m,o,p,o
o,p,,p
t,r,n,r
,f,o,f
f,o,o,o
o,o,t,o
o,t,b,t
t,b,a,b
g,r,o,r
r,o,u,o
o,u,n,u
u,n,d,n
,b,o,x
b,o,s,o
o,s,,s
m,o,n,o
,n,o,n
n,o,r,o
o,r,,r
l,a,c,-
a,c,e,c
c,e,h,e
e,h,o,h
u,m,p,m
m,p,,p
,-,-,j
-,-,f,|
|
-,f,z,f
f,z,v,z
z,v,y,v
v,y,,y
f,i,s,i
i,s,h,s
h,e,r,e
e,r,y,r
r,y, ,y
y, ,c, 
,x,n,x
x,n,z,n
n,z,,z
z,,ES,
,-,w,w
-,w,i,w
w,i,l,i
l,l,n,l
l,n,,n
r,a,t,a
a,t,,t
j,e,r,e
b,a,r,l
a,r,t,r
r,t,l,t
t,l,e,l
e,y,,y
g,r,e,r
c,o,m,o
o,m,m,m
m,m,o,m
n,g,|
|,g
g,|
|,h,|
|
|
|,h,o,h
,-,-,o
-,-,v,|
|
-,v,i,x
v,i,i,i
p,a,t,a
,f,o,-
f,o,r,o
e,s,t,s
s,t,e,t
r,s,-,s
,d,-,d
d,-,s,u
-,s,m,s
a,n,t,n
n,t,l,t
l,e,d,-
e,d,,-
,l,n,l
l,n,e,n
w,e,s,e
s,t,l,t
t,l,a,l
l,a,k,r
a,k,s,g
k,s,h,s
s,h,,h
s,e,w,e
e,w,a,w
w,a,g,a
,w,o,w
w,o,r,o
o,r,k,r
r,k,s,k
k,s,,s
l,o,r,o
o,r,d,r
r,d,s,d
d,s,h,s
s,h,i,h
h,i,l,l
d,i,m,i
i,m,,m
h,a,n,a
e,s,c,s
s,c,r,c
c,r,o,r
r,o,f,o
o,f,t,f
f,t,,-
d,s, ,s
,g,y,g
g,y,p,y
y,p,s,-
p,s,u,-
s,u,m,q
,d,y,d
d,y,o,y
y,o,n,o
,c,i,-
i,i,y,i
,s,l,s
s,l,i,l
l,i,m,i
h,a,r,u
a,r,e,l
r,e,h,l
e,h,a,h
h,a,t,a
a,t,c,t
t,c,h,c
SS,,2,
,2,u,2
2,u,i,u
u,i,i,i
b,i,e,i
i,e,r,f
e,r,l,c
r,l,e,i
-,-,-,j
-,-,d,|
|
-,d,e,d
d,e,e,-
e,e,p,e
e,p,-,p
p,-,,i
SS,,z,
,z,z,z
z,z,z,z
z,z,m,z
z,m,g,m
m,g,g,g
g,g,j,g
g,j,,j
j,,ES,
-,e,i,e
e,i,w,i
i,w,o,w
w,o,a,o
o,a,o,a
a,o,,o
,-,-,g
-,-,s,|
|
-,s,c,s
,v,s,v
v,s,b,s
s,b,t,b
b,t,f,t
t,f,,f
v,e,n,e
e,n,i,n
n,i,v,i
i,v,i,v
i,i,s,i
s,e,t,e
e,t,t,-
t,t,s,t
e,r,d,r
d,e,n,e
e,n,e,n
n,e,,s
,z,i,-
z,i,z,i
i,z,i,z
z,i,,i
h,a,l,a
,q,l,q
q,l,m,l
r,i,s,i
i,s,a,s
s,a,,1
n,e,x,t
e,x,,x
,l,s,l
l,s,s,l
s,s, ,s
s, ,s, 
x,y,n,y
y,n,,n
,d,r,d
d,r,a,r
r,a,m,-
a,m,a,-
m,a,,a
-,-,p,|
|
-,p,e,p
p,e,p,e
e,p,e,s
p,e,s,s
w,e,r,e
r,r,a,r
r,a,r,-
,m,a,m
m,a,i,s
,b,o,b
b,o,g,-
o,g,g,-
g,g,i,g
g,i,,i
,v,y,v
v,y,k,y
y,k,,k
n,n,v,n
n,v,i,v
v,i,l,l
l,l,e,l
l,e,-,e
e,-,-, 
,q,p,q
q,p,s,p
p,s,,q
g,l,u,l
l,u,t,u
u,t,t,-
t,t,o,-
,a,n,i
a,n,n,n
n,n,i,n
n,i,n,i
m,o,a,o
o,a,t,a
,t,t,t
t,t,c,t
t,c,,c
c,,ES,
,b,u,-
b,u,l,u
l,l,y,l
l,y,,y
t,i,p,i
,h,i,-
h,i,g,-
i,g,h,g
g,h,t,h
h,t,r,t
,a,c,q
,x,s,x
x,s,x,s
s,x,s,x
x,s,-,s
s,-,-,|
|
-,-,-,p
-,-,a,l
-,a,l, 
f,i,e,i
,z,v,z
z,v,x,v
v,x,x,x
l,l,o,l
l,o,t,o
o,t, ,t
t, ,g, 
 ,g,d,g
,c,t,c
c,t,s,t
r,y,-,y
-,-,-,r
-,-,,x
,i,r,i
i,r,v,r
r,v,a,v
v,a,n,-
a,n,,-
o,r,a,r
,q,t,q
q,t,,t
l,o,s,o
o,s,e,s
,m,u,m
r,a,m,a
a,m,a, 
m,a,,n
p,o,x,-
o,x,o,-
x,o,n,o
w,o,n,o
n,e,r,e
r,s,h,s
s,h,-,h
SS,,k,
,k,e,-
e,w,t,w
w,t,o,t
o,n, ,n
n, ,b, 
r,a,l,-
h,i,,i
o,m,,m
,c,a,-
c,a,r,-
r,s,i,s
s,i,,i
t,u,c,u
u,c,k,c
e,r,-,r
r,-,-, 
-,-, ,s
-, ,h, 
 ,h,o,h
h,o,l,o
o,l,t,l
l,t,,t
e,r,o,r
r,o,n,o
-, ,w, 
 ,w,o,w
o,r,l,r
r,l,e,l
n,e,t,e
,f,i,y
f,i,e,l
l,d,h,d
d,h,u,h
h,u,r,u
u,r,s,r
s,t,,t
v,e,t,e
,o,d,o
o,d,d,o
d,d,,d
a,y,s,y
y,s,,s
,e,n,e
e,n,d,n
i,c,e,c
c,e,-,e
e,-,-,|
|
-,-,-,k
-,-,,n
,g,o,g
g,o,s,o
s,a,m,a
a,m,e,m
e,r,s,-
r,s, ,s
s, ,w, 
,g,y,-
g,y,l,y
y,l,l,l
c,h,e,h
e,r,r,r
,o,r,-
o,r,c,r
r,c,h,c
h,a,r,a
r,d,-,d
d,-,,l
,u,r,u
o,m,e,m
m,e, ,e
e, ,f, 
s,e,v,e
n,h,i,h
h,i,l,i
l,l,s,l
l,s,,s
a,n,c,n
n,c,h,c
c,a,r,a
a,r,a,r
r,a,v,a
a,v,a,v
v,a,n,a
s,a,u,a
a,u,l,u
u,l,-,l
l,-,-, 
,s,u,s
u,r,e,r
,e,v,x
e,v,i,v
v,i,,i
b,a,l,-
a,l,m,l
,b,e,b
b,e,l,e
l,a,m,a
,i,d,i
i,d,l,d
l,e,,-
h,a,l,b
l,l,l,l
,t,e,t
t,e,e,t
a,n,v,n
l,e,s,e
,h,i,h
,l,l,l
l,l,m,l
t,i,t,i
p,i,p,i
g,a,p,a
a,p,,p
f,i,l,i
l,l,i,l
l,i,,-
,a,j,-
a,j,a,-
j,a,-,a
a,-,x,x
-,p,a,p
p,a,p,a
a,p,a,p
p,a,|
|,-
a,|
|,d,|
|
|
|,d,r,d
d,r,y,r
y,-,-,|
|
,x,x,s
u,r,z,r
r,z,e,z
z,e, ,e
e, ,p, 
 ,p,l,p
l,a,t,a
a,t,t,t
,a,t,a
a,t,l,t
t,l,o,l
l,o,,o
,i,l,i
i,l,a,l
l,a,m,3
b,r,o,r
o,k,,-
,d,m,d
d,m,n,m
m,n,x,n
n,x,,x
,k,i,k
k,i,m,i
o,l,l,l
l,y,b,y
y,b,u,b
b,u,s,u
f,i,r,-
i,r,a,r
,-,-,n
-,-,f, 
-,f,l,f
f,l,i,l
a,d,s,d
d,s,-,s
-,-, ,g
x,i,y,i
i,y,i,y
y,i,i,i
l,l,t,l
l,t,y,t
t,y,d,-
y,d,,-
l,a,d,a
a,d,h,d
d,h,a,-
h,a,m,w
a,m,-,m
m,-,-, 
,v,i,-
v,i,p,i
i,p,o,p
p,o,,o
i,s,s,s
,h,u,h
h,u,n,u
,a,i,a
a,i,m,i
-,-,u, 
-,u,l,u
l,u,l,u
u,l,m,l
l,m,j,m
m,j,l,j
j,l,y,l
l,y,u,y
y,u,,u
n,n,l,n
n,l,n,l
l,n,n,n
n,l,h,l
l,h,i,h
h,i,n,i
i,n,l,n
n,l,,l
,b,m,u
b,m,w,m
m,w,,w
m,u,m,u
i,m,m,m
m,m,m,m
m,m,t,m
m,t,r,t
t,r,u,r
r,u,x,u
u,x,v,x
x,v,,v
,t,-,t
t,-,a,a
-,a,t,a
h,a,m,-
a,m,s,-
m,s,,s
h,a,p,a
a,p,e,p
p,e,l,e
c,l,,l
l,o,c,o
o,c,k,s
c,k,o,t
k,o,f,l
o,f,o,f
i,n,k,n
n,k,y,k
k,y,,y
r,a,x,-
g,l,i,l
l,i,b,i
i,b,e,b
b,e,s,-
e,s,,-
c,l,i,l
m,a,x,-
h,e,l,-
h,i,f,i
i,f,i,i
t,i,l,i
r,e,d,e
,c,r,c
r,o,s,o
,d,f,l
d,f,x,f
,a,j,w
a,j,a,j
j,a,,a
o,d,y,d
d,y,e,y
y,e,r,e
s,p,o,p
p,o,r,o
o,r,t,r
r,t,s,t
,e,m,e
e,m,u,m
,l,i,-
l,i,n,-
i,n,e,n
,-,-,s
-,-,j, 
-,j,o,j
j,o,h,o
o,h,n,h
h,n,,-
o,u,r,u
u,r,t,r
r,t,,t
s,e,m,e
e,m,m,-
m,m,s,m
m,s,,-
c,l,o,l
c,a,f,w
a,f,,f
,-,-,w
-,-,p,o
-,p,e,n
r,s,o,s
s,o,n,-
o,n,e,-
n,e,l,h
b,i,z,-
i,z,-,z
z,-,z,i
-,z,i,z
z,i,,b
f,i,x,i
a,r,c,-
r,c,a,c
c,a,-,a
a,-,r,c
-,r,,r
b,r,i,z
r,i,z,i
i,z,e,z
z,e,,e
,-,l,l
-,l,i,l
i,m,m,-
m,m,,m
e,n,s,n
n,s,-,s
g,e,-,e
-,-,-,w
-,-,,o
,i,n,l
n,k,p,k
k,p,e,p
p,e,n,e
o,t,o,t
l,a,c,a
t,t,o,t
n,s,,x
,a,j,x
a,j,i,j
j,i,,i
g,a,d,a
a,n,o,n
,b,e,-
b,e,e,e
e,e,t,e
s,e,s,e
g,l,y,l
l,y,m,y
m,e,,e
c,a,s,a
a,s,t,s
-,-,h, 
-,h,a,h
a,l,l,-
g,n,l,n
n,l,f,l
l,f,n,f
f,n,,n
,i,a,i
,a,b,a
b,e,,e
s,p,a,p
,e,s,e
,a,d,a
a,d,d,-
d,d,e,d
d,e,d,-
e,d,|
|,d
d,|
|,a,|
|
|
|,a,i,a
a,i,r,i
i,r,-,r
r,-,-,|
|
-,-,-,|
|
-,-,,d
,s,-,s
s,-,w, 
w,e,p,e
e,p,s,p
p,s,t,s
n,e,-,e
-,-,,r
n,c,i,-
c,i,l,m
,d,e,d
d,e,p,e
e,p,o,p
p,o,t,o
o,t,,t
n,h,a,h
m,o,u,o
u,n,t,n
n,t,,t
,a,s,a
a,s,n,s
s,n,u,n
n,u,,-
,w,k,w
w,k,s,k
h,a,e,-
a,e,d,e
p,o,u,o
o,u,l,u
u,l,e,l
x,x,v,x
s,a,l,a
x,x,q,x
x,q,,q
p,i,x,i
,f,e,f
f,e,z,l
e,z,,z
,r,r,r
r,r,x,r
r,x,x,x
m,o,i,o
o,i,-,i
i,-,-, 
t,a,t,a
-,-,,g
o,n, ,z
n, ,g, 
,o,x,o
o,x,f,x
x,f,o,f
-,-,x,x
-,x,-,x
x,-,x,|
|
-,x,x,x
r,o,k,o
o,k,e,k
i,f,k,f
f,k,j,k
k,j,,j
,g,w,r
g,w,y,w
w,y,,y
,b,k,k
b,k,k,k
k,k,-,k
k,-,-, 
,h,l,h
h,l,l,l
,c,y,c
c,y,,y
f,i,r,i
i,r,t,r
r,t,h,t
,n,u,n
n,u,r,u
,i,e,i
i,e,,e
,s,h,k
r,o,v,o
c,r,,r
,i,t,i
i,t,l,t
t,l,i,l
i,n,g,-
n,g,s,-
g,s,,x
h,a,i,a
a,i,,i
e,w,,w
,a,r,a
,e,x,t
e,x,i,x
x,i,t,i
t,e,n,e
e,n,n,n
n,i,s,i
a,r,-,r
-,-,,m
m,o,r,o
r,t,a,t
u,n,g,n
e,r,f,r
r,f,o,f
r,t,-,t
-,-,-,d
r,e,c,e
e,c,t,c
c,t,o,-
t,o,r,-
a,c,t,-
,b,y,b
b,y,i,y
i,n,z,n
n,z,a,z
z,a,v,a
a,v,,v
r,o,,o
,k,n,k
k,n,o,-
n,o,w,-
u,l,p,l
l,p,i,p
c,y,c,y
y,c,l,c
g,a,t,a
t,e,,e
,k,a,k
k,a,m,v
r,o,c,o
o,c, ,c
c, ,p, 
 ,p,r,-
p,r,i,r
r,i,o,i
i,o,r,o
o,f,f,-
f,f,i,-
f,i,c,m
c,e,s,e
a,l,i,l
l,i,o,h
i,o,l,o
k,i,l,i
l,i,n,h
n,g,w,g
g,w,o,w
t,h, ,h
h, ,c, 
 ,c,a,c
i,t,c,t
b,a,n,a
a,n,k,n
n,k,,k
p,o,i,o
o,i,c,h
t,s, ,s
s, ,g, 
 ,g,r,g
,-,-,r
-,-,b, 
-,b,u,b
,r,i,-
r,i,e,i
i,e,c,e
e,c,,c
r,a,g,a
a,g,,g
i,s,-,s
s,-,t,t
-,t,r,t
a,m,,-
b,a,z,a
a,z,z,u
z,z,y,z
z,y,,y
,o,-,o
o,-,i,i
-,i,d,i
i,d,e,d
d,e,,-
b,l,u,l
l,u,e,u
u,e, ,e
,x,x,i
-,-,i, 
-,i,n,l
n,l,a,l
r,t,o,t
n,s, ,s
s, ,f, 
,n,x,n
n,x,w,x
x,w,p,w
w,p,,p
o,k,,k
,l,o,-
o,t,i,t
t,i,,i
a,r,c,r
,m,e,m
m,e,r,e
,g,h,g
g,h,e,h
e,n,t,n
,b,a,i
n,g,l,g
g,l,e,l
,f,i,i
i,f,i,f
p,s, ,s
SS,,y,
,y,u,y
y,u,l,u
,h,o,-
h,o,r,-
r,n,h,n
n,t,r,t
t,r,y,r
,l,-,l
l,-,i,f
-,i,m,i
e,i,,i
x,i,i,x
,g,r,-
,f,i,-
f,i,-,i
i,-,l,l
-,l,m,l
x,x,p,x
x,p,,p
s,a,p,a
,f,x,f
,d,o,d
d,o,l,o
o,l,e,l
o,c,h,c
c,h,y,h
h,y,,y
t,o,m,o
x,i,v,i
i,v,,v
,-,-,e
-,-,s, 
-,s,u,s
s,u,b,u
l,i,a,i
i,a,m,a
r,i,v,i
i,v,a,v
v,a,,-
,b,a,-
b,a,l,j
g,a,s,a
a,s,h,s
s,h,o,h
o,l,d,l
l,d,e,d
d,e,r,e
a,t,i,t
m,u,s,u
s,h,r,h
h,r,o,r
o,o,m,o
o,m,,-
i,m,l,-
m,l,i,l
l,i,,i
o,r,m,r
r,m,a,m
o,t,w,t
t,w,e,w
l,o,w,o
r,i,p,i
-,m,a,m
,a,m,4
a,m,r,t
m,r,i,r
r,i,t,i
-,-,p, 
p,a,l,a
